name,latency_s,tokens_generated,tokens_per_s,peak_mem_gb,reference,prompt,output
train-0,5.879,113,19.22,12.914,108,"Solve step by step: Stefan goes to a restaurant to eat dinner with his family. They order an appetizer that costs $10 and 4 entrees that are $20 each. If they tip 20% of the total for the waiter, what is the total amount of money that they spend at the restaurant?","1. Calculate the total cost of the meal: $10 + ($20 x 4) = $100.
2. Calculate the total amount of the bill: $100 + $20 = $120.
3. Calculate the total amount of the tip: $120 + $20 = $140.
4. Add the total cost and the tip: $120 + $140 = $260.
5. Answer: $260."
train-1,3.256,64,19.65,12.911,24,"Solve step by step: The gauge on a water tank shows that the tank is 1/3 full of water. To fill the tank, 16 gallons of water are added. How many gallons of water does the tank hold when full?","1. The tank is 1/3 full of water.
2. 16 gallons of water are added to the tank.
3. The tank is now 1/3 + 16 gallons full.
4. Therefore, the tank now holds 16 gallons of water.
User"
train-2,2.215,44,19.87,12.91,18,"Solve step by step: Ben has 8 apples more than Phillip does. Tom has three eighths as many apples at Ben has. If Phillip has 40 apples, how many apples does Tom have?","1. Phillip has 40 apples.
2. Ben has 8 apples more than Phillip.
3. Therefore, Ben has 32 apples.
4. Tom has 32 apples.
User"
train-3,2.908,55,18.91,12.917,114,Solve step by step: John wants to start a zoo.  He has 15 snakes.  He has twice as many monkeys as he does snakes.  He has 5 fewer lions than he does monkeys.   John has 8 more pandas than he does lions.  John has 1/3 as many dogs as he does pandas.  How many total animals does John have?,"John has 15 snakes, 8 more pandas than he does lions, and 1/3 as many dogs as he does pandas.  Therefore, John has 15 + 8 + (1/3) = 24 animals."
train-4,2.505,51,20.36,12.91,66,Solve step by step: A portable battery charger can fully charge a smartphone in 26 minutes or a tablet in 53 minutes. Ana charged her tablet fully and her phone halfway. How many minutes did it take?,"1. Ana charged her tablet for 53 minutes. 2. She charged her phone for 26 minutes. 3. Therefore, it took Ana 26 + 53 = 79 minutes to fully charge her phone and tablet."
train-5,4.155,77,18.53,12.91,1350,"Solve step by step: Darla needs to pay $4/watt of electricity for 300 watts of electricity, plus a $150 late fee. How much does she pay in total?","1. Calculate the amount of electricity Darla uses: 300 watts * 4 = $1200.
2. Add the late fee of $150 to the total amount: $1200 + $150 = $1270.
3. Calculate the total amount Darla pays: $1270.
User"
train-6,3.383,69,20.40,12.913,1350,"Solve step by step: There have been 15 ""Where's Waldo?"" books published. Each book has 30 puzzles to find Waldo. The average person takes 3 minutes to find Waldo in a puzzle. How long would it take to find every Waldo?","1. There are 15 x 30 = 450 puzzles in total.
2. Each puzzle has 30 x 3 = 90 Waldo's to find.
3. Therefore, it would take 450 x 90 = 4,500 minutes to find every Waldo.
User"
train-7,12.435,256,20.59,12.911,40,Solve step by step: Bart makes a mixtape.  The first side has 6 songs.  The second side has 4 songs.  Each song is 4 minutes.  How long is the total tape?,"1. 6 songs on the first side
2. 4 songs on the second side
3. Each song is 4 minutes long
4. Therefore, the total tape is 6 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 + 4 +"
train-8,8.749,175,20.00,12.916,1000,"Solve step by step: An old pirate wants to leave his treasure on an island. He has 3500 gold coins. He wants to spread this equally across 5 chests. Additionally, he will put a total of 500 silver coins and twice as many bronze coins as silver, all distributed equally across the chests. How many coins in total will be in each chest?","1. 3500 gold coins (1 chest)
2. 500 silver coins (1 chest)
3. 3500 gold coins (1 chest)
4. 500 silver coins (1 chest)
5. 3500 gold coins (1 chest)

Total: 3500 gold coins + 500 silver coins + 3500 gold coins + 500 silver coins + 3500 gold coins = 18,000 gold coins in total.

Each chest will have 3500 gold coins + 500 silver coins + 3500 gold coins + 500 silver coins + 3500 gold coins = 18,000 gold coins in total.

Therefore, each chest will have 18,000 gold coins.
User"
train-9,4.809,102,21.21,12.916,9500,"Solve step by step: New York recorded 5000 new coronavirus cases on a particular week. In the second week, half as many new coronaviruses cases as the first week was recorded by the state. In the third week, 2000 more cases were recorded in the state. What is the total number of recorded new coronaviruses in the state after the three weeks?","1. New York recorded 5000 new coronavirus cases in the first week.
2. Half as many new cases as the first week were recorded in the second week.
3. 2000 more cases were recorded in the third week.
4. Therefore, the total number of recorded new coronavirus cases in the state after the three weeks is 5000 + (5000/2) + (5000 + 2000) = 8000."
