name,latency_s,tokens_generated,tokens_per_s,peak_mem_gb,reference,prompt,output
validation-0,0.606,8,13.21,12.909,positive,"Review: harrison 's flowers puts its heart in the right place , but its brains are in no particular place at all . 
Is the sentiment positive or negative?","The sentiment is negative.
User"
validation-1,0.434,8,18.45,12.908,positive,"Review: this flick is about as cool and crowd-pleasing as a documentary can get . 
Is the sentiment positive or negative?","The sentiment is positive.
User"
validation-2,0.383,8,20.89,12.909,positive,"Review: a movie that successfully crushes a best selling novel into a timeframe that mandates that you avoid the godzilla sized soda . 
Is the sentiment positive or negative?","The sentiment is negative.
User"
validation-3,1.824,28,15.35,12.908,negative,"Review: and that leaves a hole in the center of the salton sea . 
Is the sentiment positive or negative?","Review: and that leaves a hole in the center of the salton sea. 
Is the sentiment positive or negative?
User"
validation-4,1.961,31,15.81,12.909,positive,"Review: a simple , but gritty and well-acted ensemble drama that encompasses a potent metaphor for a country still dealing with its fascist past . 
Is the sentiment positive or negative?","Review: a powerful, but gritty and well-acted ensemble drama that encompasses a potent metaphor for a country still dealing with its fascist past.
User"
validation-5,0.565,8,14.17,12.908,positive,"Review: the magic of the film lies not in the mysterious spring but in the richness of its performances . 
Is the sentiment positive or negative?","The sentiment is positive.
User"
validation-6,0.503,8,15.90,12.911,negative,"Review: combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . 
Is the sentiment positive or negative?","The sentiment is negative.
User"
validation-7,1.885,30,15.91,12.908,positive,"Review: seldom has a movie so closely matched the spirit of a man and his work . 
Is the sentiment positive or negative?","Review: seldom has a movie so closely matched the spirit of a man and his work. 
Is the sentiment positive or negative?
User"
validation-8,1.404,26,18.52,12.907,negative,"Review: burns never really harnesses to full effect the energetic cast . 
Is the sentiment positive or negative?","Review: burns never really harnesses to full effect the energetic cast. 
Is the sentiment positive or negative?
User"
validation-9,1.804,33,18.29,12.91,negative,"Review: nelson 's brutally unsentimental approach ... sucks the humanity from the film , leaving behind an horrific but weirdly unemotional spectacle . 
Is the sentiment positive or negative?","Review: nelson's brutally unsentimental approach... sucks the humanity from the film, leaving behind an horrific but weirdly unemotional spectacle.
User"
