name,latency_s,tokens_generated,tokens_per_s,peak_mem_gb,reference,prompt,output
validation-0,4.110,87,21.17,13.513,positive,"Review: harrison 's flowers puts its heart in the right place , but its brains are in no particular place at all . 
Is the sentiment positive or negative?","The given sentence is a metaphorical criticism, suggesting that while Harrison's Flowers may have good intentions or emotions (puts its heart in the right place), their actions or execution lacks logic or organization (brains are in no particular place at all). Therefore, the sentiment is neutral to negative, as the positive aspect of having good intentions is overshadowed by the negative aspect of lacking organization or direction."
validation-1,0.676,22,32.56,13.507,positive,"Review: this flick is about as cool and crowd-pleasing as a documentary can get . 
Is the sentiment positive or negative?",The sentiment expressed in the review is positive. The documentary being described is cool and crowd-pleasing.
validation-2,3.210,93,28.98,13.514,positive,"Review: a movie that successfully crushes a best selling novel into a timeframe that mandates that you avoid the godzilla sized soda . 
Is the sentiment positive or negative?","The sentiment in the review is likely to be negative. The statement ""crushes a best-selling novel into a timeframe that mandates that you avoid the godzilla-sized soda"" suggests that the movie did not do justice to the source material and may have felt rushed or incomplete. The reference to ""avoid the godzilla-sized soda"" could also imply that the movie was a disappointing or unsatisfying experience."
validation-3,1.604,51,31.79,13.507,negative,"Review: and that leaves a hole in the center of the salton sea . 
Is the sentiment positive or negative?","The sentence ""and that leaves a hole in the center of the Salton Sea"" is neutral in tone. It is stating a fact that there is a hole in the center of the Salton Sea, without expressing any positive or negative emotion."
validation-4,3.317,106,31.96,13.516,positive,"Review: a simple , but gritty and well-acted ensemble drama that encompasses a potent metaphor for a country still dealing with its fascist past . 
Is the sentiment positive or negative?","The sentiment expressed in the review is generally positive. The film is described as a ""simple, but gritty and well-acted ensemble drama,"" indicating that it is a compelling and effective piece of cinema. The reviewer also notes that the film contains a ""potent metaphor"" for a country dealing with its fascist past, suggesting that the film offers insightful commentary on a significant historical issue. Overall, the review expresses appreciation for the film's merits and its ability to address important themes."
validation-5,2.625,84,32.00,13.512,positive,"Review: the magic of the film lies not in the mysterious spring but in the richness of its performances . 
Is the sentiment positive or negative?","The sentiment expressed in the review is positive. The reviewer is praising the film for having strong performances, implying that the acting was excellent and added to the overall enjoyment of the movie. The mention of the ""mysterious spring"" suggests that it may be a plot element in the film, but the reviewer seems to be focusing more on the acting than on that particular aspect of the story."
validation-6,4.834,158,32.68,13.523,negative,"Review: combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . 
Is the sentiment positive or negative?","The sentiment in the review is generally negative. The reviewer is suggesting that Beck's video editing style resembles that of System of a Down, but the tone of the comment implies that this is not a compliment. The use of the word ""illusion"" suggests that Beck may be trying to imitate a style that doesn't quite fit with his content, and the description of the editing as ""quick-cut"" and the music as ""blaring heavy metal"" may be intended to convey a sense of excess or overindulgence. Overall, the review seems to be implying that Beck's video is trying too hard to be something it's not, and that the heavy metal music and quick editing don't add anything meaningful to the content."
validation-7,2.205,74,33.56,13.511,positive,"Review: seldom has a movie so closely matched the spirit of a man and his work . 
Is the sentiment positive or negative?","The sentiment expressed in the given phrase is generally positive. The speaker is implying that the movie accurately represents the man and his work, which is a compliment. However, the word ""seldom"" suggests that such a close match is not a common occurrence, so there may be an underlying implication that the movie is particularly noteworthy or exceptional."
validation-8,0.999,35,35.02,13.505,negative,"Review: burns never really harnesses to full effect the energetic cast . 
Is the sentiment positive or negative?","The sentiment expressed in the review is generally negative. The reviewer is suggesting that the director, Burns, did not effectively utilize the energetic cast in the production."
validation-9,2.822,90,31.90,13.514,negative,"Review: nelson 's brutally unsentimental approach ... sucks the humanity from the film , leaving behind an horrific but weirdly unemotional spectacle . 
Is the sentiment positive or negative?","The sentiment expressed in the review is negative. The reviewer is criticizing Nelson's approach in the film as being ""brutally unsentimental,"" which has resulted in a final product that is described as ""horrific but weirdly unemotional."" This suggests that the reviewer felt that the film lacked the expected emotional response, and that the absence of sentimentality left the audience disconnected from the humanity of the story."
