name,latency_s,tokens_generated,tokens_per_s,peak_mem_gb,reference,correct
train-0,9.502,180,18.94,13.531,72,1
train-1,5.628,108,19.19,13.52,10,0
train-2,6.420,126,19.63,13.53,5,0
train-3,7.269,163,22.42,13.532,42,1
train-4,7.597,187,24.61,13.528,624,0
train-5,9.108,208,22.84,13.54,35,0
train-6,6.626,120,18.11,13.529,48,1
train-7,6.623,65,9.81,13.534,16,1
train-8,9.750,165,16.92,13.547,41,0
train-9,11.994,271,22.59,13.55,990,0
train-10,12.821,311,24.26,13.557,121,0
train-11,11.795,257,21.79,13.556,5,0
train-12,6.994,155,22.16,13.529,85,1
train-13,6.572,127,19.33,13.532,35,1
train-14,6.791,172,25.33,13.527,5,0
train-15,10.694,237,22.16,13.546,448000,0
train-16,8.658,206,23.79,13.538,800,0
train-17,10.242,189,18.45,13.544,43,0
train-18,11.516,275,23.88,13.549,16,0
train-19,8.812,184,20.88,13.538,16,1
train-20,7.026,101,14.37,13.532,38,1
train-21,9.159,213,23.26,13.539,1080,1
train-22,7.108,142,19.98,13.532,7,0
train-23,9.148,208,22.74,13.539,5,0
train-24,6.943,122,17.57,13.534,62,0
train-25,6.364,96,15.09,13.534,110,1
train-26,10.417,240,23.04,13.543,400,0
train-27,8.644,157,18.16,13.541,400,1
train-28,5.090,77,15.13,13.521,8,1
train-29,9.751,231,23.69,13.542,1000,0
train-30,13.060,289,22.13,13.549,6,0
train-31,11.813,272,23.03,13.548,1200,0
train-32,9.214,152,16.50,13.546,10,0
train-33,7.997,152,19.01,13.536,34,1
train-34,7.522,165,21.94,13.529,5250,1
train-35,6.879,155,22.53,13.53,36,0
train-36,4.262,70,16.43,13.519,15,1
train-37,9.789,189,19.31,13.544,5,1
train-38,9.844,208,21.13,13.543,9,0
train-39,5.468,61,11.16,13.528,15,1
train-40,17.711,451,25.46,13.588,476,0
train-41,4.200,62,14.76,13.524,500,1
train-42,16.102,395,24.53,13.588,99,0
train-43,9.656,219,22.68,13.541,60,0
train-44,9.071,176,19.40,13.538,300,1
train-45,12.312,245,19.90,13.552,99,0
train-46,9.245,228,24.66,13.538,1920,1
train-47,7.428,159,21.41,13.533,15,1
train-48,4.861,91,18.72,13.523,10,1
train-49,5.346,78,14.59,13.524,48,1
train-50,9.730,199,20.45,13.542,5,0
train-51,7.278,146,20.06,13.532,160,1
train-52,17.372,446,25.67,13.588,5,0
train-53,5.734,114,19.88,13.529,36,1
train-54,5.801,82,14.14,13.526,11,0
train-55,8.263,205,24.81,13.533,75,1
train-56,7.046,145,20.58,13.532,45,1
train-57,10.509,217,20.65,13.542,2,0
train-58,10.763,243,22.58,13.548,320,1
train-59,9.109,149,16.36,13.541,120,0
train-60,9.145,212,23.18,13.54,96,1
train-61,15.409,330,21.42,13.588,200,0
train-62,10.833,274,25.29,13.543,15,0
train-63,5.166,46,8.90,13.527,59,0
train-64,10.372,248,23.91,13.544,840,1
train-65,8.909,219,24.58,13.537,558,1
train-66,11.102,243,21.89,13.546,520,0
train-67,17.538,423,24.12,13.588,6,0
train-68,8.021,161,20.07,13.533,90,1
train-69,6.834,155,22.68,13.526,49,1
train-70,3.825,87,22.74,13.519,19,1
train-71,4.972,53,10.66,13.524,25,1
train-72,11.794,249,21.11,13.553,54,0
train-73,6.632,96,14.47,13.529,3,0
train-74,9.865,228,23.11,13.543,28,1
train-75,9.871,227,23.00,13.541,15,1
train-76,17.113,461,26.94,13.588,768,0
train-77,8.741,203,23.22,13.536,85,0
train-78,10.216,240,23.49,13.545,4,1
train-79,6.018,129,21.44,13.522,70,1
train-80,17.580,443,25.20,13.588,100,0
train-81,17.440,401,22.99,13.588,14,0
train-82,9.765,240,24.58,13.54,700,1
train-83,12.538,298,23.77,13.552,54,0
train-84,5.126,89,17.36,13.524,90,1
train-85,10.811,246,22.75,13.545,5,0
train-86,7.200,139,19.30,13.527,6,0
train-87,3.584,70,19.53,13.52,600,1
train-88,10.275,248,24.14,13.538,258,1
train-89,10.450,231,22.11,13.542,216,0
train-90,7.904,191,24.17,13.535,90,1
train-91,7.062,124,17.56,13.533,10,0
train-92,9.020,185,20.51,13.539,1825,0
train-93,7.169,154,21.48,13.529,14000,0
train-94,8.307,197,23.71,13.53,60,0
train-95,10.873,239,21.98,13.543,64,0
train-96,7.551,127,16.82,13.531,126,0
train-97,11.497,225,19.57,13.552,46,0
train-98,13.409,264,19.69,13.552,45,0
train-99,17.254,396,22.95,13.588,3,0
