model,task,samples,avg_latency_s,avg_tokens_per_s,avg_peak_mem_gb,avg_generated_tokens,accuracy,rouge1,rouge2,rougeL,max_new_tokens,use_chat_template,kv_strategy,csv_path,bits,dtype
Qwen/Qwen1.5-7B-Chat,classification-sst2,100,3.403,28.82,14.475,98.09,0.78,,,,256,True,default,staging/matrix_runs/classification-sst2_Qwen1.5-7B-Chat_bits16_kvdefault_run.csv,16,float16
Qwen/Qwen1.5-7B-Chat,reasoning-gsm8k,100,8.162,27.17,14.545,221.73,0.48,,,,256,True,default,staging/matrix_runs/reasoning-gsm8k_Qwen1.5-7B-Chat_bits16_kvdefault_run.csv,16,float16
Qwen/Qwen1.5-7B-Chat,summarization-xsum,100,2.245,24.99,14.694,56.12,,0.2626,0.0628,0.1721,256,True,default,staging/matrix_runs/summarization-xsum_Qwen1.5-7B-Chat_bits16_kvdefault_run.csv,16,float16
Qwen/Qwen1.5-7B-Chat,classification-sst2,100,3.29,30.06,14.406,98.89,0.8,,,,256,True,off,staging/matrix_runs/classification-sst2_Qwen1.5-7B-Chat_bits16_kvoff_run.csv,16,float16
Qwen/Qwen1.5-7B-Chat,reasoning-gsm8k,100,10.261,21.55,14.422,221.15,0.48,,,,256,True,off,staging/matrix_runs/reasoning-gsm8k_Qwen1.5-7B-Chat_bits16_kvoff_run.csv,16,float16
Qwen/Qwen1.5-7B-Chat,summarization-xsum,100,3.826,14.71,14.447,56.27,,0.2621,0.0631,0.1725,256,True,off,staging/matrix_runs/summarization-xsum_Qwen1.5-7B-Chat_bits16_kvoff_run.csv,16,float16
Qwen/Qwen1.5-7B-Chat,classification-sst2,100,3.722,26.35,14.482,98.09,0.78,,,,256,True,sliding128,staging/matrix_runs/classification-sst2_Qwen1.5-7B-Chat_bits16_kvsliding128_run.csv,16,float16
Qwen/Qwen1.5-7B-Chat,reasoning-gsm8k,100,7.949,27.89,14.545,221.73,0.48,,,,256,True,sliding128,staging/matrix_runs/reasoning-gsm8k_Qwen1.5-7B-Chat_bits16_kvsliding128_run.csv,16,float16
Qwen/Qwen1.5-7B-Chat,summarization-xsum,100,2.198,25.53,14.694,56.12,,0.2626,0.0628,0.1721,256,True,sliding128,staging/matrix_runs/summarization-xsum_Qwen1.5-7B-Chat_bits16_kvsliding128_run.csv,16,float16
Qwen/Qwen1.5-7B-Chat,classification-sst2,100,3.122,31.41,14.482,98.09,0.78,,,,256,True,dynamic,staging/matrix_runs/classification-sst2_Qwen1.5-7B-Chat_bits16_kvdynamic_run.csv,16,float16
Qwen/Qwen1.5-7B-Chat,reasoning-gsm8k,100,7.183,30.87,14.545,221.73,0.48,,,,256,True,dynamic,staging/matrix_runs/reasoning-gsm8k_Qwen1.5-7B-Chat_bits16_kvdynamic_run.csv,16,float16
Qwen/Qwen1.5-7B-Chat,summarization-xsum,100,2.047,27.41,14.694,56.12,,0.2626,0.0628,0.1721,256,True,dynamic,staging/matrix_runs/summarization-xsum_Qwen1.5-7B-Chat_bits16_kvdynamic_run.csv,16,float16
Qwen/Qwen1.5-7B-Chat,classification-sst2,100,3.725,26.33,14.482,98.09,0.78,,,,256,True,static,staging/matrix_runs/classification-sst2_Qwen1.5-7B-Chat_bits16_kvstatic_run.csv,16,float16
Qwen/Qwen1.5-7B-Chat,reasoning-gsm8k,100,7.469,29.69,14.545,221.73,0.48,,,,256,True,static,staging/matrix_runs/reasoning-gsm8k_Qwen1.5-7B-Chat_bits16_kvstatic_run.csv,16,float16
Qwen/Qwen1.5-7B-Chat,summarization-xsum,100,2.148,26.13,14.694,56.12,,0.2626,0.0628,0.1721,256,True,static,staging/matrix_runs/summarization-xsum_Qwen1.5-7B-Chat_bits16_kvstatic_run.csv,16,float16
Qwen/Qwen1.5-7B-Chat,classification-sst2,100,3.375,29.06,14.482,98.09,0.78,,,,256,True,quantized,staging/matrix_runs/classification-sst2_Qwen1.5-7B-Chat_bits16_kvquantized_run.csv,16,float16
Qwen/Qwen1.5-7B-Chat,reasoning-gsm8k,100,8.37,26.49,14.545,221.73,0.48,,,,256,True,quantized,staging/matrix_runs/reasoning-gsm8k_Qwen1.5-7B-Chat_bits16_kvquantized_run.csv,16,float16
Qwen/Qwen1.5-7B-Chat,summarization-xsum,100,1.929,29.1,14.694,56.12,,0.2626,0.0628,0.1721,256,True,quantized,staging/matrix_runs/summarization-xsum_Qwen1.5-7B-Chat_bits16_kvquantized_run.csv,16,float16
