model,task,samples,avg_latency_s,avg_tokens_per_s,avg_peak_mem_gb,avg_generated_tokens,accuracy,rouge1,rouge2,rougeL,csv_path,bits,dtype,use_kv_cache,use_chat_template,max_new_tokens
Qwen1.5-0.5B-Chat,reasoning-gsm8k,100,6.248,30.13,0.901,188.25,,,,,staging/matrix_runs/reasoning-gsm8k_Qwen1.5-0.5B-Chat_bits16_kvon_run.csv,16,float16,on,True,256
Qwen1.5-0.5B-Chat,classification-sst2,100,2.347,32.41,0.888,76.06,,,,,staging/matrix_runs/classification-sst2_Qwen1.5-0.5B-Chat_bits16_kvon_run.csv,16,float16,on,True,256
Qwen1.5-0.5B-Chat,summarization-xsum,100,2.806,31.46,0.939,88.29,,,,,staging/matrix_runs/summarization-xsum_Qwen1.5-0.5B-Chat_bits16_kvon_run.csv,16,float16,on,True,256
Qwen1.5-1.8B-Chat,classification-sst2,100,5.313,32.6,3.487,173.2,,,,,staging/matrix_runs/classification-sst2_Qwen1.5-1.8B-Chat_bits16_kvon_run.csv,16,float16,on,True,256
Qwen1.5-1.8B-Chat,reasoning-gsm8k,100,3.43,33.3,3.48,114.24,,,,,staging/matrix_runs/reasoning-gsm8k_Qwen1.5-1.8B-Chat_bits16_kvon_run.csv,16,float16,on,True,256
Qwen1.5-1.8B-Chat,summarization-xsum,100,4.095,33.27,3.572,136.26,,,,,staging/matrix_runs/summarization-xsum_Qwen1.5-1.8B-Chat_bits16_kvon_run.csv,16,float16,on,True,256
Qwen1.5-4B-Chat,classification-sst2,100,4.125,16.79,7.42,69.25,,,,,staging/matrix_runs/classification-sst2_Qwen1.5-4B-Chat_bits16_kvon_run.csv,16,float16,on,True,256
Qwen1.5-4B-Chat,reasoning-gsm8k,100,9.433,20.29,7.486,191.35,,,,,staging/matrix_runs/reasoning-gsm8k_Qwen1.5-4B-Chat_bits16_kvon_run.csv,16,float16,on,True,256
Qwen1.5-4B-Chat,summarization-xsum,100,3.028,19.39,7.609,58.71,,,,,staging/matrix_runs/summarization-xsum_Qwen1.5-4B-Chat_bits16_kvon_run.csv,16,float16,on,True,256
Qwen1.5-7B-Chat,classification-sst2,100,3.353,29.26,14.472,98.09,,,,,staging/matrix_runs/classification-sst2_Qwen1.5-7B-Chat_bits16_kvon_run.csv,16,float16,on,True,256
Qwen1.5-7B-Chat,summarization-xsum,100,2.77,20.26,14.693,56.12,,,,,staging/matrix_runs/summarization-xsum_Qwen1.5-7B-Chat_bits16_kvon_run.csv,16,float16,on,True,256
Qwen1.5-7B-Chat,reasoning-gsm8k,100,8.051,27.54,14.545,221.73,,,,,staging/matrix_runs/reasoning-gsm8k_Qwen1.5-7B-Chat_bits16_kvon_run.csv,16,float16,on,True,256
Qwen1.5-7B-Chat,summarization-xsum,100,15.989,3.49,8.765,55.73,,,,,staging/matrix_runs/summarization-xsum_Qwen1.5-7B-Chat_bits8_kvon_run.csv,8,float16,on,True,256
Qwen1.5-7B-Chat,reasoning-gsm8k,100,57.623,3.89,8.537,224.03,,,,,staging/matrix_runs/reasoning-gsm8k_Qwen1.5-7B-Chat_bits8_kvon_run.csv,8,float16,on,True,256
Qwen1.5-7B-Chat,classification-sst2,100,27.456,3.6,8.456,98.8,,,,,staging/matrix_runs/classification-sst2_Qwen1.5-7B-Chat_bits8_kvon_run.csv,8,float16,on,True,256
Qwen1.5-7B-Chat,reasoning-gsm8k,100,15.976,13.97,6.039,223.17,,,,,staging/matrix_runs/reasoning-gsm8k_Qwen1.5-7B-Chat_bits4_kvon_run.csv,4,float16,on,True,256
Qwen1.5-7B-Chat,classification-sst2,100,7.192,14.03,6.021,100.94,,,,,staging/matrix_runs/classification-sst2_Qwen1.5-7B-Chat_bits4_kvon_run.csv,4,float16,on,True,256
Qwen1.5-7B-Chat,summarization-xsum,100,3.55,15.91,6.289,56.49,,,,,staging/matrix_runs/summarization-xsum_Qwen1.5-7B-Chat_bits4_kvon_run.csv,4,float16,on,True,256
Qwen1.5-0.5B-Chat-GPTQ-Int8,classification-sst2,100,4.225,17.69,0.623,74.73,,,,,staging/matrix_runs/classification-sst2_Qwen1.5-0.5B-Chat-GPTQ-Int8_bitsnone_kvon_run.csv,none,float16,on,True,256
Qwen1.5-0.5B-Chat-GPTQ-Int8,summarization-xsum,100,6.677,12.27,1.255,81.92,,,,,staging/matrix_runs/summarization-xsum_Qwen1.5-0.5B-Chat-GPTQ-Int8_bitsnone_kvon_run.csv,none,float16,on,True,256
Qwen1.5-0.5B-Chat-GPTQ-Int8,reasoning-gsm8k,100,10.667,18.09,1.221,192.93,,,,,staging/matrix_runs/reasoning-gsm8k_Qwen1.5-0.5B-Chat-GPTQ-Int8_bitsnone_kvon_run.csv,none,float16,on,True,256
Qwen1.5-1.8B-Chat-GPTQ-Int8,reasoning-gsm8k,100,9.122,12.44,3.016,113.52,,,,,staging/matrix_runs/reasoning-gsm8k_Qwen1.5-1.8B-Chat-GPTQ-Int8_bitsnone_kvon_run.csv,none,float16,on,True,256
Qwen1.5-1.8B-Chat-GPTQ-Int8,summarization-xsum,100,9.187,14.63,3.099,134.42,,,,,staging/matrix_runs/summarization-xsum_Qwen1.5-1.8B-Chat-GPTQ-Int8_bitsnone_kvon_run.csv,none,float16,on,True,256
Qwen1.5-1.8B-Chat-GPTQ-Int8,classification-sst2,100,14.319,12.13,3.022,173.65,,,,,staging/matrix_runs/classification-sst2_Qwen1.5-1.8B-Chat-GPTQ-Int8_bitsnone_kvon_run.csv,none,float16,on,True,256
Qwen1.5-4B-Chat-GPTQ-Int8,summarization-xsum,100,6.926,8.6,5.394,59.55,,,,,staging/matrix_runs/summarization-xsum_Qwen1.5-4B-Chat-GPTQ-Int8_bitsnone_kvon_run.csv,none,float16,on,True,256
Qwen1.5-4B-Chat-GPTQ-Int8,reasoning-gsm8k,100,21.817,8.88,5.279,193.63,,,,,staging/matrix_runs/reasoning-gsm8k_Qwen1.5-4B-Chat-GPTQ-Int8_bitsnone_kvon_run.csv,none,float16,on,True,256
Qwen1.5-4B-Chat-GPTQ-Int8,classification-sst2,100,7.619,9.01,5.218,68.67,,,,,staging/matrix_runs/classification-sst2_Qwen1.5-4B-Chat-GPTQ-Int8_bitsnone_kvon_run.csv,none,float16,on,True,256
Qwen1.5-7B-Chat-GPTQ-Int8,classification-sst2,100,14.099,7.09,9.493,99.9,,,,,staging/matrix_runs/classification-sst2_Qwen1.5-7B-Chat-GPTQ-Int8_bitsnone_kvon_run.csv,none,float16,on,True,256
Qwen1.5-7B-Chat-GPTQ-Int8,summarization-xsum,100,8.705,6.51,9.683,56.66,,,,,staging/matrix_runs/summarization-xsum_Qwen1.5-7B-Chat-GPTQ-Int8_bitsnone_kvon_run.csv,none,float16,on,True,256
Qwen1.5-7B-Chat-GPTQ-Int8,reasoning-gsm8k,100,32.819,6.73,9.549,220.96,,,,,staging/matrix_runs/reasoning-gsm8k_Qwen1.5-7B-Chat-GPTQ-Int8_bitsnone_kvon_run.csv,none,float16,on,True,256
