model,task,samples,avg_latency_s,avg_tokens_per_s,avg_peak_mem_gb,avg_generated_tokens,accuracy,rouge1,rouge2,rougeL,csv_path,bits,dtype,use_kv_cache,use_chat_template,max_new_tokens
Qwen1.5-0.5B-Chat,classification-sst2,100,2.347,32.41,0.888,76.06,0.91,0.0325,0.0,0.0325,staging/matrix_runs/classification-sst2_Qwen1.5-0.5B-Chat_bits16_kvon_run.csv,16,float16,on,True,256
Qwen1.5-0.5B-Chat,reasoning-gsm8k,100,6.248,30.13,0.901,188.25,0.09,0.0043,0.0,0.0043,staging/matrix_runs/reasoning-gsm8k_Qwen1.5-0.5B-Chat_bits16_kvon_run.csv,16,float16,on,True,256
Qwen1.5-0.5B-Chat,summarization-xsum,100,2.806,31.46,0.939,88.29,,0.196,0.038,0.1351,staging/matrix_runs/summarization-xsum_Qwen1.5-0.5B-Chat_bits16_kvon_run.csv,16,float16,on,True,256
Qwen1.5-1.8B-Chat,classification-sst2,100,5.313,32.6,3.487,173.2,0.85,0.0141,0.0,0.0141,staging/matrix_runs/classification-sst2_Qwen1.5-1.8B-Chat_bits16_kvon_run.csv,16,float16,on,True,256
Qwen1.5-1.8B-Chat,reasoning-gsm8k,100,3.43,33.3,3.48,114.24,0.44,0.0235,0.0,0.0235,staging/matrix_runs/reasoning-gsm8k_Qwen1.5-1.8B-Chat_bits16_kvon_run.csv,16,float16,on,True,256
Qwen1.5-1.8B-Chat,summarization-xsum,100,4.095,33.27,3.572,136.26,,0.1746,0.0426,0.1173,staging/matrix_runs/summarization-xsum_Qwen1.5-1.8B-Chat_bits16_kvon_run.csv,16,float16,on,True,256
Qwen1.5-4B-Chat,classification-sst2,100,4.125,16.79,7.42,69.25,0.88,0.0378,0.0,0.0378,staging/matrix_runs/classification-sst2_Qwen1.5-4B-Chat_bits16_kvon_run.csv,16,float16,on,True,256
Qwen1.5-4B-Chat,reasoning-gsm8k,100,9.433,20.29,7.486,191.35,0.46,0.0129,0.0,0.0129,staging/matrix_runs/reasoning-gsm8k_Qwen1.5-4B-Chat_bits16_kvon_run.csv,16,float16,on,True,256
Qwen1.5-4B-Chat,summarization-xsum,100,3.028,19.39,7.609,58.71,,0.2539,0.0676,0.183,staging/matrix_runs/summarization-xsum_Qwen1.5-4B-Chat_bits16_kvon_run.csv,16,float16,on,True,256
Qwen1.5-7B-Chat,classification-sst2,100,3.353,29.26,14.472,98.09,0.78,0.0255,0.0,0.0255,staging/matrix_runs/classification-sst2_Qwen1.5-7B-Chat_bits16_kvon_run.csv,16,float16,on,True,256
Qwen1.5-7B-Chat,reasoning-gsm8k,100,8.051,27.54,14.545,221.73,0.48,0.0098,0.0,0.0098,staging/matrix_runs/reasoning-gsm8k_Qwen1.5-7B-Chat_bits16_kvon_run.csv,16,float16,on,True,256
Qwen1.5-7B-Chat,summarization-xsum,100,2.77,20.26,14.693,56.12,,0.2626,0.0628,0.1721,staging/matrix_runs/summarization-xsum_Qwen1.5-7B-Chat_bits16_kvon_run.csv,16,float16,on,True,256
Qwen1.5-7B-Chat,classification-sst2,100,27.456,3.6,8.456,98.8,0.82,0.0249,0.0,0.0249,staging/matrix_runs/classification-sst2_Qwen1.5-7B-Chat_bits8_kvon_run.csv,8,float16,on,True,256
Qwen1.5-7B-Chat,reasoning-gsm8k,100,57.623,3.89,8.537,224.03,0.47,0.0094,0.0,0.0094,staging/matrix_runs/reasoning-gsm8k_Qwen1.5-7B-Chat_bits8_kvon_run.csv,8,float16,on,True,256
Qwen1.5-7B-Chat,summarization-xsum,100,15.989,3.49,8.765,55.73,,0.2547,0.055,0.1699,staging/matrix_runs/summarization-xsum_Qwen1.5-7B-Chat_bits8_kvon_run.csv,8,float16,on,True,256
Qwen1.5-7B-Chat,classification-sst2,100,7.192,14.03,6.021,100.94,0.78,0.0247,0.0,0.0247,staging/matrix_runs/classification-sst2_Qwen1.5-7B-Chat_bits4_kvon_run.csv,4,float16,on,True,256
Qwen1.5-7B-Chat,reasoning-gsm8k,100,15.976,13.97,6.039,223.17,0.55,0.0103,0.0,0.0103,staging/matrix_runs/reasoning-gsm8k_Qwen1.5-7B-Chat_bits4_kvon_run.csv,4,float16,on,True,256
Qwen1.5-7B-Chat,summarization-xsum,100,3.55,15.91,6.289,56.49,,0.2512,0.0592,0.173,staging/matrix_runs/summarization-xsum_Qwen1.5-7B-Chat_bits4_kvon_run.csv,4,float16,on,True,256
Qwen1.5-0.5B-Chat-GPTQ-Int8,classification-sst2,100,4.225,17.69,0.623,74.73,0.91,0.0335,0.0,0.0335,staging/matrix_runs/classification-sst2_Qwen1.5-0.5B-Chat-GPTQ-Int8_bitsnone_kvon_run.csv,none,float16,on,True,256
Qwen1.5-0.5B-Chat-GPTQ-Int8,reasoning-gsm8k,100,10.667,18.09,1.221,192.93,0.1,0.0042,0.0,0.0042,staging/matrix_runs/reasoning-gsm8k_Qwen1.5-0.5B-Chat-GPTQ-Int8_bitsnone_kvon_run.csv,none,float16,on,True,256
Qwen1.5-0.5B-Chat-GPTQ-Int8,summarization-xsum,100,6.677,12.27,1.255,81.92,,0.1962,0.0376,0.1343,staging/matrix_runs/summarization-xsum_Qwen1.5-0.5B-Chat-GPTQ-Int8_bitsnone_kvon_run.csv,none,float16,on,True,256
Qwen1.5-1.8B-Chat-GPTQ-Int8,classification-sst2,100,14.319,12.13,3.022,173.65,0.85,0.0142,0.0,0.0142,staging/matrix_runs/classification-sst2_Qwen1.5-1.8B-Chat-GPTQ-Int8_bitsnone_kvon_run.csv,none,float16,on,True,256
Qwen1.5-1.8B-Chat-GPTQ-Int8,reasoning-gsm8k,100,9.122,12.44,3.016,113.52,0.42,0.0226,0.0,0.0226,staging/matrix_runs/reasoning-gsm8k_Qwen1.5-1.8B-Chat-GPTQ-Int8_bitsnone_kvon_run.csv,none,float16,on,True,256
Qwen1.5-1.8B-Chat-GPTQ-Int8,summarization-xsum,100,9.187,14.63,3.099,134.42,,0.1752,0.041,0.1176,staging/matrix_runs/summarization-xsum_Qwen1.5-1.8B-Chat-GPTQ-Int8_bitsnone_kvon_run.csv,none,float16,on,True,256
